var_name,category,subcategory,name,package_last_year,defer_last_year,distributable_last_year,avg_employee_last_year,avg_employee,key_score,eff_index_1_weight,eff_index_2_weight,eff_index_3_weight,eff_index_4_weight,quality_index_last_year,cost_index_last_year,operate_index_last_year,quality_index,cost_index,operate_index,financial_index_name,revenue_last_year,cost_last_year,other_income_last_year,invest_income_last_year,total_profit_last_year,patmi_self_last_year,patmi_BII_last_year,labor_cost_last_year,revenue,cost,other_income,invest_income,total_profit,patmi_self,patmi_BII,labor_cost,employee_cost
fazhan,Compete,,京投发展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keji,Compete,,京投科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zulin,Compete,,基石租赁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zixun,Compete,,轨道咨询,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guidao,Special,Gov,轨道公司,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiaotong,Special,Gov,交通公司,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guanlang,Special,Gov,管廊公司,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luwang,Special,Gov,路网公司,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zichan,Special,Gov,资产公司,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dahebing,Special,Market,京投大合并,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tudi,Special,Market,土地事业部,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duojing,Special,Market,多经事业部,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beixin,Special,Market,北信公司,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kegongsi,Special,,壳公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dahebing_minus,Special,,减：京投大合并,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiguan_plus,Special,,机关本部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
special_elimination,Special,,特殊功能类大合并抵消数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunying,Public,,轨道运营,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_elimination,Public,,公共服务类大合并抵消数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
